DATE,COMPOUT
9/16/2009,1189.642114
9/23/2009,1212.149965
9/30/2009,1231.913113
10/7/2009,1299.523509
10/14/2009,1326.836024
10/21/2009,1366.737638
10/28/2009,1377.164974
11/4/2009,1315.364279
11/11/2009,1238.578636
11/18/2009,1267.168581
11/25/2009,1259.318246
12/2/2009,1235.633389
12/9/2009,1210.074568
12/16/2009,1150.544984
12/23/2009,1159.455085
12/30/2009,1170.016462
1/6/2010,1075.795031
1/13/2010,1102.756436
1/20/2010,1093.074425
1/27/2010,1148.303985
2/3/2010,1122.702344
2/10/2010,1133.257622
2/17/2010,1137.365554
2/24/2010,1154.135079
3/3/2010,1134.469925
3/10/2010,1145.045464
3/17/2010,1122.277398
3/24/2010,1114.752679
3/31/2010,1109.622172
4/7/2010,1089.65239
4/14/2010,1074.156918
4/21/2010,1075.714228
4/28/2010,1108.79268
5/5/2010,1102.085051
5/12/2010,1102.880055
5/19/2010,1075.874433
5/26/2010,1073.129594
6/2/2010,1062.794901
6/9/2010,1064.230787
6/16/2010,1083.180711
6/23/2010,1098.610075
6/30/2010,1098.489139
7/7/2010,1091.198296
7/14/2010,1097.121212
7/21/2010,1099.560553
7/28/2010,1101.030058
8/4/2010,1096.488885
8/11/2010,1104.931615
8/18/2010,1110.65942
8/25/2010,1086.928539
9/1/2010,1064.20968
9/8/2010,1058.695288
9/15/2010,1036.013143
9/22/2010,1063.766443
9/29/2010,1090.977674
10/6/2010,1122.19619
10/13/2010,1127.348097
10/20/2010,1145.053706
10/27/2010,1167.867833
11/3/2010,1145.428699
11/10/2010,1134.042692
11/17/2010,1086.604912
11/24/2010,1066.877253
12/1/2010,1022.624055
12/8/2010,1009.941214
12/15/2010,984.1659019
12/22/2010,976.9423747
12/29/2010,971.5274543
1/5/2011,968.1153969
1/12/2011,938.3675503
1/19/2011,916.8297087
1/26/2011,988.3499138
2/2/2011,996.6483388
2/9/2011,1014.660963
2/16/2011,1041.892691
2/23/2011,1046.811594
3/2/2011,1064.729052
3/9/2011,1063.129184
3/16/2011,1076.057605
3/23/2011,1080.096855
3/30/2011,1081.669496
4/6/2011,1093.568163
4/13/2011,1100.059483
4/20/2011,1100.206651
4/27/2011,1107.123397
5/4/2011,1131.323403
5/11/2011,1161.973268
5/18/2011,1187.707212
5/25/2011,1202.771665
6/1/2011,1201.470198
6/8/2011,1224.444263
6/15/2011,1212.073566
6/22/2011,1233.042967
6/29/2011,1235.866946
7/6/2011,1215.855687
7/13/2011,1236.574108
7/20/2011,1208.636479
7/27/2011,1205.856539
8/3/2011,1175.826788
8/10/2011,1169.384434
8/17/2011,1146.66088
8/24/2011,1117.089694
8/31/2011,1097.838892
9/7/2011,1065.806915
9/14/2011,1043.151033
9/21/2011,1029.793244
9/28/2011,1007.600407
10/5/2011,985.3309327
10/12/2011,966.2608418
10/19/2011,949.2506267
10/26/2011,961.063157
11/2/2011,979.6657406
11/9/2011,967.7451778
11/16/2011,999.5926214
11/23/2011,999.6776646
11/30/2011,1001.98858
12/7/2011,997.2265467
12/14/2011,991.6728359
12/21/2011,986.5044163
12/28/2011,959.3292169
1/4/2012,929.1751035
1/11/2012,963.0607904
1/18/2012,967.9695217
1/25/2012,971.4361447
2/1/2012,972.2148859
2/8/2012,972.88316
2/15/2012,962.1186531
2/22/2012,937.6671306
2/29/2012,927.2432282
3/7/2012,925.5946567
3/14/2012,936.8420609
3/21/2012,931.2054909
3/28/2012,937.5583713
4/4/2012,931.5088418
4/11/2012,928.451709
4/18/2012,932.626332
4/25/2012,925.8926328
5/2/2012,939.9437031
5/9/2012,966.3576563
5/16/2012,993.5988711
5/23/2012,1008.517344
5/30/2012,1028.55093
6/6/2012,1013.872625
6/13/2012,1007.137516
6/20/2012,998.2149679
6/27/2012,1008.304357
7/4/2012,972.6160144
7/11/2012,981.883007
7/18/2012,982.5251011
7/25/2012,1002.682521
8/1/2012,1034.37927
8/8/2012,1013.573992
8/15/2012,1020.322305
8/22/2012,1024.996035
8/29/2012,1031.812016
9/5/2012,1021.952578
9/12/2012,1015.560178
9/19/2012,1008.328633
9/26/2012,990.1016311
10/3/2012,975.0637639
10/10/2012,964.8502639
10/17/2012,943.6285084
10/24/2012,924.3988008
10/31/2012,945.7544453
11/7/2012,963.6201055
11/14/2012,968.5836156
11/21/2012,997.8672772
11/28/2012,1025.616771
12/5/2012,1035.553393
12/12/2012,1049.318054
12/19/2012,1058.254957
12/26/2012,1065.572981
1/2/2013,1081.797145
1/9/2013,1105.0216
1/16/2013,1132.816074
1/23/2013,1125.574518
